0,0,12.5
-2,4,12.5
0,3,12.5
-1,-1,12.5
1,3,12.5
-1,-1,12.5
0,-1,12.5
0,0,12.5
1,10,12.5
-1,-1,12.5
0,1,12.5
1,2,12.5
-1,0,12.5
1,-2,12.5
0,6,12.5
1,5,12.5
-2,-2,12.5
0,0,12.5
1,3,12.5
1,-1,12.5
0,-1,12.5
-3,5,12.5
0,4,12.5
0,-2,12.5
0,2,12.5
0,1,12.5
1,-1,12.5
-1,-2,12.5
1,12,12.5
-1,0,12.5
-1,-1,12.5
1,2,12.5
2,1,12.5
-2,-3,12.5
-1,4,12.5
-3,2,12.5
0,-1,12.5
-1,-1,12.5
1,3,12.5
-2,-2,12.5
0,-1,12.5
1,6,12.5
-2,4,12.5
0,-2,12.5
1,3,12.5
0,1,12.5
-1,-2,12.5
0,-1,12.5
3,11,12.5
1,0,12.5
0,-1,12.5
0,2,12.5
0,1,12.5
1,-2,12.5
-3,4,12.5
-1,4,12.5
0,0,12.5
-1,-1,12.5
0,2,12.5
0,-1,12.5
-1,-1,12.5
1,3,12.5
2,3,12.5
-1,-2,12.5
0,1,12.5
1,1,12.5
0,-1,12.5
0,-1,12.5
4,5,12.5
1,-2,12.5
-1,-1,12.5
1,2,12.5
1,1,12.5
0,-2,12.5
0,1,12.5
3,1,12.5
3,-2,12.5
0,-2,12.5
0,2,12.5
0,0,12.5
1,-1,12.5
-2,-1,12.5
5,6,12.5
-1,-2,12.5
0,0,12.5
0,1,12.5
1,1,12.5
0,-2,12.5
2,4,12.5
-1,1,12.5
1,-1,12.5
0,0,12.5
0,2,12.5
1,-1,12.5
-2,-1,12.5
0,4,12.5
-1,1,12.5
-1,-3,12.5
-1,2,12.5
1,1,12.5
0,-1,12.5
0,-1,12.5
-4,3,12.5
0,-2,12.5
-1,-1,12.5
0,1,12.5
1,1,12.5
0,-2,12.5
0,2,12.5
-2,-1,12.5
-1,-2,12.5
1,0,12.5
0,2,12.5
1,-1,12.5
-1,1,12.5
0,1,12.5
0,-1,12.5
-1,-1,12.5
1,2,12.5
-1,-1,12.5
2,0,12.5
1,2,12.5
1,1,12.5
0,-2,12.5
-1,1,12.5
1,1,12.5
0,-1,12.5
-1,-1,12.5
2,2,12.5
2,0,12.5
-1,-2,12.5
-1,0,12.5
1,2,12.5
1,-1,12.5
-1,-1,12.5
0,2,12.5
2,1,12.5
-2,-2,12.5
1,0,12.5
0,2,12.5
0,-1,12.5
0,-1,12.5
1,1,12.5
-1,-2,12.5
1,-2,12.5
-1,1,12.5
1,1,12.5
0,-1,12.5
-1,-1,12.5
2,5,12.5
0,-1,12.5
0,0,12.5
0,1,12.5
1,1,12.5
-2,-2,12.5
-1,2,12.5
-3,0,12.5
0,-1,12.5
0,0,12.5
1,2,12.5
-2,-2,12.5
-1,-1,12.5
4,5,12.5
-1,-2,12.5
2,2,12.5
-2,0,12.5
2,-1,12.5
0,-1,12.5
